Intensity 31_200_PS Carb_10	Intensity 32_200_PS Carb_100	Intensity 33_small_Citrate_10	Intensity 34_large_Citrate_10	Intensity 35_small_PEI_10	Intensity 36_large_PEI_10	Intensity 37_large_PVP@AU_100	Intensity 38_small_PVP@AU_10	Intensity 39_small_PVP@AU_100	Intensity 40_large_Citrate_100	Intensity 41_large_PEI_100	Intensity 42_small_Citrate_100	Intensity 43_small_PEI_100	Intensity 44_large_PVP@AU_10	Intensity 45_large_PEG@Au_100	Intensity 46_large_PEI@Au_100	Intensity 47_small_PEI@Au_100	Intensity 48_200_PS Carb@ PEG_100	Intensity 49_200_PS Carb@ PEG_100	Intensity 50_FBS	Intensity 51_SPQC1	Intensity 52_SPQC2	Intensity 53_SPQC3	iBAQ 31_200_PS Carb_10	iBAQ 32_200_PS Carb_100	iBAQ 33_small_Citrate_10	iBAQ 34_large_Citrate_10	iBAQ 35_small_PEI_10	iBAQ 36_large_PEI_10	iBAQ 37_large_PVP@AU_100	iBAQ 38_small_PVP@AU_10	iBAQ 39_small_PVP@AU_100	iBAQ 40_large_Citrate_100	iBAQ 41_large_PEI_100	iBAQ 42_small_Citrate_100	iBAQ 43_small_PEI_100	iBAQ 44_large_PVP@AU_10	iBAQ 45_large_PEG@Au_100	iBAQ 46_large_PEI@Au_100	iBAQ 47_small_PEI@Au_100	iBAQ 48_200_PS Carb@ PEG_100	iBAQ 49_200_PS Carb@ PEG_100	iBAQ 50_FBS	iBAQ 51_SPQC1	iBAQ 52_SPQC2	iBAQ 53_SPQC3	Top3 31_200_PS Carb_10	Top3 32_200_PS Carb_100	Top3 33_small_Citrate_10	Top3 34_large_Citrate_10	Top3 35_small_PEI_10	Top3 36_large_PEI_10	Top3 37_large_PVP@AU_100	Top3 38_small_PVP@AU_10	Top3 39_small_PVP@AU_100	Top3 40_large_Citrate_100	Top3 41_large_PEI_100	Top3 42_small_Citrate_100	Top3 43_small_PEI_100	Top3 44_large_PVP@AU_10	Top3 45_large_PEG@Au_100	Top3 46_large_PEI@Au_100	Top3 47_small_PEI@Au_100	Top3 48_200_PS Carb@ PEG_100	Top3 49_200_PS Carb@ PEG_100	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	Species	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	T
0	0	0	4868800	12841000	0	10031000	0	8823200	25223000	25072000	0	13468000	0	0	0	0	0	0	54812000	7079300	7460400	25913000	0	0	0	270490	713360	0	557280	0	490180	1401300	1392900	0	748210	0	0	0	0	0	0	3045100	393290	414470	437970	0	0	0	5781300	81357000	0	11911000	0	10477000	29949000	29771000	0	15992000	0	0	0	0	0	0	65084000	8406000	8858500	25913000	Bos taurus				9913	A2I7M9
5750500	0	6179200	29202000	10419000	37879000	157260000	3491300	172580000	162570000	227670000	51370000	163980000	13316000	33192000	1102400	19913000	0	2565600	330430016	52667000	96897000	112370000	287530	0	308960	831510	520970	1386200	4739200	174570	5424100	3576800	7226600	906320	6491900	363440	1140000	55120	412010	0	128280	13102000	1614400	3852600	3734900	16708000	0	17953000	38238000	24837000	37879000	102790000	10144000	101360000	131210000	156570000	55701000	123570000	17436000	33192000	3203000	34304000	0	6115800	241180000	68964000	72270000	73921000	Bos taurus				9913	A2I7N0;Q3ZEJ6
0	0	0	0	0	0	0	0	0	0	17317000	0	9697600	0	2829000	0	0	0	0	29073000	0	0	0	0	0	0	0	0	0	0	0	0	0	865870	0	484880	0	141450	0	0	0	0	357120	0	0	0	0	0	0	0	0	0	0	0	0	0	19706000	0	11035000	0	3219300	0	0	0	0	29073000	0	0	0	Bos taurus				9913	A2I7N1
0	0	0	0	0	0	21393000	4459100	23326000	33325000	23024000	10875000	29144000	7295400	15416000	3883600	0	0	0	53483000	17526000	24811000	17598000	0	0	0	0	0	0	1337000	278690	1457900	2082800	1439000	679720	1821500	455960	963510	242720	0	0	0	3342700	1095400	1550700	1099900	0	0	0	0	0	0	21393000	4459100	23326000	33325000	23024000	10875000	29144000	7295400	15416000	3883600	0	0	0	53483000	17526000	24811000	17598000	Bos taurus				9913	A2I7N2
8701900	2736100	82242000	116270000	117630000	126700000	449929984	56725000	459680000	692840000	759200000	188690000	643660032	89638000	173010000	12242000	105910000	11394000	22451000	1192499968	431300000	335150016	368540000	483440	86744	3409700	6054600	5203300	5652500	17321000	1902900	18913000	29351000	31552000	8875000	27804000	3671900	7591100	252380	4605800	632980	1247300	45092000	17316000	12838000	14548000	27943000	0	80574000	115630000	102110000	113330000	312089984	29135000	314680000	440960000	522720000	148300000	439969984	70687000	136750000	12774000	98595000	10571000	23442000	670070016	270140000	214820000	225090000	Bos taurus				9913	A2I7N3
0	1098500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2982400	16490000	0	0	0	0	0	61027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165690	838940	0	0	0	0	0	1543900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4191700	15101000	0	0	0	0	Bos taurus				9913	A2VE23
0	0	0	0	0	0	0	0	0	60552000	0	14339000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1505300	0	203270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49094000	0	20855000	0	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	A2VE99
0	2393200	13147000	9260800	0	0	0	0	0	0	0	6124200	0	0	0	0	0	3896700	10045000	0	0	0	0	0	199440	1095600	771730	0	0	0	0	0	0	0	510350	0	0	0	0	0	324730	837070	0	0	0	0	0	2481900	13634000	9603900	0	0	0	0	0	0	0	6351100	0	0	0	0	0	4041100	10045000	0	0	0	0	Bos taurus				9913	Q58DS5;Q2HJI8;A4FV54;Q2HJH2;Q1RMR4;P10948;P11023;P10949
0	0	7893500	13742000	26382000	33397000	70589000	12098000	118180000	143470000	150940000	93965000	177640000	8227900	20129000	3488600	138460000	0	0	0	63205000	76583000	48905000	0	0	877060	1526900	2931400	3015700	4192900	1056700	7767400	9639600	11476000	7405100	12018000	914210	1773000	387620	11928000	0	0	0	4090900	4809700	4353700	0	0	17102000	18736000	23119000	22895000	31975000	9288700	57886000	64620000	68738000	51852000	80816000	8322900	18025000	3488600	62454000	0	0	0	34374000	35822000	33620000	Bos taurus				9913	Q5E9E2;A4IF97
