Intensity 31_200_PS Carb_10	Intensity 32_200_PS Carb_100	Intensity 33_small_Citrate_10	Intensity 34_large_Citrate_10	Intensity 35_small_PEI_10	Intensity 36_large_PEI_10	Intensity 37_large_PVP@AU_100	Intensity 38_small_PVP@AU_10	Intensity 39_small_PVP@AU_100	Intensity 40_large_Citrate_100	Intensity 41_large_PEI_100	Intensity 42_small_Citrate_100	Intensity 43_small_PEI_100	Intensity 44_large_PVP@AU_10	Intensity 45_large_PEG@Au_100	Intensity 46_large_PEI@Au_100	Intensity 47_small_PEI@Au_100	Intensity 48_200_PS Carb@ PEG_100	Intensity 49_200_PS Carb@ PEG_100	Intensity 50_FBS	Intensity 51_SPQC1	Intensity 52_SPQC2	Intensity 53_SPQC3	iBAQ 31_200_PS Carb_10	iBAQ 32_200_PS Carb_100	iBAQ 33_small_Citrate_10	iBAQ 34_large_Citrate_10	iBAQ 35_small_PEI_10	iBAQ 36_large_PEI_10	iBAQ 37_large_PVP@AU_100	iBAQ 38_small_PVP@AU_10	iBAQ 39_small_PVP@AU_100	iBAQ 40_large_Citrate_100	iBAQ 41_large_PEI_100	iBAQ 42_small_Citrate_100	iBAQ 43_small_PEI_100	iBAQ 44_large_PVP@AU_10	iBAQ 45_large_PEG@Au_100	iBAQ 46_large_PEI@Au_100	iBAQ 47_small_PEI@Au_100	iBAQ 48_200_PS Carb@ PEG_100	iBAQ 49_200_PS Carb@ PEG_100	iBAQ 50_FBS	iBAQ 51_SPQC1	iBAQ 52_SPQC2	iBAQ 53_SPQC3	Top3 31_200_PS Carb_10	Top3 32_200_PS Carb_100	Top3 33_small_Citrate_10	Top3 34_large_Citrate_10	Top3 35_small_PEI_10	Top3 36_large_PEI_10	Top3 37_large_PVP@AU_100	Top3 38_small_PVP@AU_10	Top3 39_small_PVP@AU_100	Top3 40_large_Citrate_100	Top3 41_large_PEI_100	Top3 42_small_Citrate_100	Top3 43_small_PEI_100	Top3 44_large_PVP@AU_10	Top3 45_large_PEG@Au_100	Top3 46_large_PEI@Au_100	Top3 47_small_PEI@Au_100	Top3 48_200_PS Carb@ PEG_100	Top3 49_200_PS Carb@ PEG_100	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	Species	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	T
0	1541700	4921100	5504300	9679500	7692700	24563000	3180200	40208000	58214000	107270000	6058500	28050000	3508600	25778000	0	11738000	1873200	8901300	0	19054000	0	11680000	0	128470	410090	458690	806630	641060	2046900	265020	3165000	2530600	8939400	504880	2337500	292380	2148200	0	978130	156100	741780	0	869060	0	973360	0	1716800	5480000	6129500	10779000	8566400	27352000	3541400	40208000	58214000	119460000	6746600	31236000	3907100	28706000	0	13071000	2085900	9912300	0	19054000	0	13007000	Bos taurus				9913	A0AAA9RXV7;F2Z4J1;A0AAA9SRF4;A0A3Q1MF62;A0AAA9TKM2;A0A3Q1MDK7;Q17QG8;A0AAA9T6Z4;A0AAA9SZG7;A0AAA9SR86;P0C0S9;A0A0A0MP93;A4IFU5;E1BH22;Q3ZBX9;F2Z4F9;A7E366;A0AAA9TSS0;F1MLQ1;A1A4R1;P0C0S4;Q32LA7;A0A3Q1N0B0;A0AAA9TPV8;Q2QJG7
75197000	7811100	4123300096	3635300096	1226200064	591160000	130920000	43518000	133570000	427350016	208520000	755260032	757200000	15626000	20852000	773820	10873000	0	0	136040000	1035200000	1076099968	1187299968	455350	37143	23974000	20303000	6949400	3491800	642230	260520	556450	2443500	1043200	4279600	4901400	88015	162040	8411.099609375	75603	0	0	809360	6387200	5223400	7226300	36810000	7238500	752929984	622400000	226480000	135050000	56016000	26507000	62059000	182560000	84914000	170830000	201980000	15291000	18175000	2501600	16383000	0	0	63516000	221570000	240450000	260360000	Bos taurus				9913	A0A0F6QMJ3;F1MY85
0	0	0	0	0	0	0	0	0	0	104730000	0	0	0	0	0	0	0	15239000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225700	0	0	0	0	0	0	0	354660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70164000	0	0	0	0	0	0	0	15298000	0	0	0	0	Bos taurus				9913	A0A3Q1MB98;Q2TBU0;A0A0M4MD57;G3X6K8
9370800	0	229950000	198680000	1255200000	1301200000	0	180570000	0	0	117460000	33565000	120060000	172620000	3788700	33983000	552329984	0	0	0	239980000	187290000	216380000	275610	0	5391500	4446600	21254000	19487000	0	2690400	0	0	2992200	856480	2816300	2554700	111430	696560	9250400	0	0	0	5647900	4000900	4487000	19230000	0	102440000	101170000	437929984	562350016	0	73697000	0	0	77071000	30260000	142590000	60963000	7774600	13273000	191120000	0	0	0	109130000	109990000	101660000	Bos taurus				9913	A0A140T851;A0A3Q1M616;P00745
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16870000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16870000	0	0	0	0	0	0	Bos taurus				9913	P05059;A0A140T879;A0AAA9SLR5
2329299968	1620999936	5823699968	6191799808	4889399808	1174400000	34038999040	2788800000	51979001856	25162000384	1323699968	10016000000	12161999872	3847099904	19299000320	44609000	651289984	3721900032	9068499968	130760000	11644000256	11532999680	11893000192	117760000	76795000	318940000	311940000	251080000	59325000	1623399936	133920000	2603099904	1274899968	67245000	509409984	600510016	185790000	950070016	2272300	33143000	181430000	424649984	7177300	563249984	569600000	580160000	804800000	479080000	1869699968	1764700032	1527100032	378590016	8397799936	850460032	13617999872	6763899904	450440000	2992600064	3356100096	1125799936	5279000064	14019000	173990000	949710016	2468000000	88872000	3205799936	3211800064	3228300032	Bos taurus				9913	Q03247;A0A140T881;A0A3Q1LPF0;A0AAA9TJ69;A7YWR0;Q0ZCB4
0	0	0	0	5821400	10606000	0	0	0	0	0	0	0	0	0	1719200	86641000	0	0	0	0	0	0	0	0	0	0	415810	285740	0	0	0	0	0	0	0	0	0	122800	3686300	0	0	0	0	0	0	0	0	0	0	10524000	12669000	0	0	0	0	0	0	0	0	0	3108100	59053000	0	0	0	0	0	0	Bos taurus				9913	P68250;A0A140T894
68030001152	14650000384	79697002496	99089997824	106690002944	104009998336	229940002816	32462000128	188270002176	262030000128	331880005632	129599995904	266290003968	60150001664	122450001920	11473999872	70438002688	13109000192	25078999040	458129997824	205810008064	190800003072	203019993088	822220032	161670000	934120000	1056600000	1204700032	1127000064	2468199936	364529984	2128999936	2939599872	3878200064	1499799936	3004399872	660590016	1412800000	105290000	791980032	166370000	288430016	5856200192	2306200064	2175800064	2366500096	13358000128	3276699904	15614999552	18480001024	17980000256	19488999424	43931000832	7023699968	35127001088	42909999104	49479000064	24864999424	46582001664	11863000064	24866000896	3120399872	14798999552	2385400064	4997199872	72203001856	33044000768	34070999040	34027999232	Bos taurus				9913	A0A140T897;P02769
34798000	6394000	86703000	17871000	18603000	7076000	17475000	4722000	24837000	733760000	0	51110000	16213000	0	203590000	0	0	1319300	2255200	27532000	50861000	63847000	49620000	994230	182690	861810	510600	531500	202170	499290	134910	709630	5054900	0	203730	463230	0	855180	0	0	37693	64434	786610	454180	569740	636910	91174000	0	75182000	46824000	48741000	0	45787000	0	65076000	382470016	0	18682000	0	0	15336000	0	0	0	0	72136000	53613000	66877000	63605000	Bos taurus				9913	A0A140T8C8
