Top3 31_200_PS Carb_10	Top3 32_200_PS Carb_100	Top3 33_small_Citrate_10	Top3 34_large_Citrate_10	Top3 35_small_PEI_10	Top3 36_large_PEI_10	Top3 37_large_PVP@AU_100	Top3 38_small_PVP@AU_10	Top3 39_small_PVP@AU_100	Top3 40_large_Citrate_100	Top3 41_large_PEI_100	Top3 42_small_Citrate_100	Top3 43_small_PEI_100	Top3 44_large_PVP@AU_10	Top3 45_large_PEG@Au_100	Top3 46_large_PEI@Au_100	Top3 47_small_PEI@Au_100	Top3 48_200_PS Carb@ PEG_100	Top3 49_200_PS Carb@ PEG_100	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	Majority protein IDs
E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	T
0	0	0	5781300	81357000	0	11911000	0	10477000	29949000	29771000	0	15992000	0	0	0	0	0	0	65084000	8406000	8858500	25913000	A2I7M9
16708000	0	17953000	38238000	24837000	37879000	102790000	10144000	101360000	131210000	156570000	55701000	123570000	17436000	33192000	3203000	34304000	0	6115800	241180000	68964000	72270000	73921000	A2I7N0
0	0	0	0	0	0	0	0	0	0	19706000	0	11035000	0	3219300	0	0	0	0	29073000	0	0	0	A2I7N1
0	0	0	0	0	0	21393000	4459100	23326000	33325000	23024000	10875000	29144000	7295400	15416000	3883600	0	0	0	53483000	17526000	24811000	17598000	A2I7N2
27943000	0	80574000	115630000	102110000	113330000	312089984	29135000	314680000	440960000	522720000	148300000	439969984	70687000	136750000	12774000	98595000	10571000	23442000	670070016	270140000	214820000	225090000	A2I7N3
0	1543900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4191700	15101000	0	0	0	0	A2VE23
0	0	0	0	0	0	0	0	0	49094000	0	20855000	0	0	0	0	0	0	0	0	0	0	0	A2VE99
0	2481900	13634000	9603900	0	0	0	0	0	0	0	6351100	0	0	0	0	0	4041100	10045000	0	0	0	0	Q58DS5
0	0	17102000	18736000	23119000	22895000	31975000	9288700	57886000	64620000	68738000	51852000	80816000	8322900	18025000	3488600	62454000	0	0	0	34374000	35822000	33620000	Q5E9E2
