,Feature,F-Value,P-Value
0,Protein Abundance in FBS,241.60076786447175,1.9439525697926038e-52
18,% Exposed Amino Acid M / Total Exposed,164.12431471563315,1.302444538169552e-36
21,% Exposed Amino Acid S / Total Exposed,160.48113108791753,7.403073268872523e-36
24,% Secondary Structure - Sheet,128.94282898485204,2.781043816072031e-29
20,% Exposed Amino Acid R / Total Exposed,126.40075479958885,9.495694552766549e-29
7,% Amino Acid - Arginine (R),120.84565474177725,1.395675063918754e-27
22,% Exposed Amino Acid T / Total Exposed,117.98743701236313,5.5762924632799235e-27
4,% Amino Acid - Phenylalanine (F),113.8476037382455,4.157626941556421e-26
8,% Amino Acid - Threonine (T),106.50234633643349,1.480717757320217e-24
5,% Amino Acid - Leucine (L),100.28721121690843,3.0691336955213334e-23
