,Feature,F-Value,P-Value
0,Protein Abundance in FBS,252.68037920784775,1.1449907528512961e-54
16,% Exposed Amino Acid M / Total Exposed,160.17242090125833,8.5783482388858e-36
19,% Exposed Amino Acid S / Total Exposed,154.89578361535936,1.0672786204522906e-34
18,% Exposed Amino Acid R / Total Exposed,121.72783924783508,9.10434818967416e-28
20,% Exposed Amino Acid T / Total Exposed,119.27418982451981,2.9884291015163745e-27
7,% Amino Acid - Arginine (R),118.59315178429756,4.1572505299596374e-27
22,% Secondary Structure - Sheet,115.41270392069502,1.9445591668539138e-26
4,% Amino Acid - Phenylalanine (F),110.75477351651658,1.8690491488044824e-25
5,% Amino Acid - Leucine (L),109.88849195644765,2.848421472767383e-25
8,% Amino Acid - Threonine (T),103.41004073910204,6.684775050393305e-24
