,Feature,F-Value,P-Value
0,Protein Abundance in FBS,250.72867370472233,2.8249891329106666e-54
19,% Exposed Amino Acid M / Total Exposed,169.92872276755932,8.211871880322965e-38
21,% Exposed Amino Acid S / Total Exposed,150.74836082280197,7.767986501148324e-34
20,% Exposed Amino Acid R / Total Exposed,130.87520676973583,1.0943259086022742e-29
24,% Secondary Structure - Sheet,126.02176900176268,1.1404629183326488e-28
9,% Amino Acid - Arginine (R),120.51907929673956,1.6348720185809613e-27
4,% Amino Acid - Phenylalanine (F),110.46914151214955,2.14757002333223e-25
22,% Exposed Amino Acid T / Total Exposed,109.60507028805179,3.2695270981899927e-25
10,% Amino Acid - Threonine (T),104.04029139149705,4.915869790164886e-24
7,% Amino Acid - Leucine (L),102.90814121663513,8.5391285019851e-24
