,Feature,F-Value,P-Value
0,Protein Abundance in FBS,248.7029369549199,7.21727316113776e-54
14,% Exposed Amino Acid M / Total Exposed,152.62740869200022,3.15931624779622e-34
17,% Exposed Amino Acid S / Total Exposed,142.43220610389653,4.1949491216576693e-32
16,% Exposed Amino Acid R / Total Exposed,121.20741376765227,1.1713690614461295e-27
7,% Amino Acid - Arginine (R),114.61992444270045,2.857358326045521e-26
20,% Secondary Structure - Sheet,113.75779669747249,4.342990550315791e-26
4,% Amino Acid - Phenylalanine (F),108.89895542493188,4.610002661703567e-25
18,% Exposed Amino Acid T / Total Exposed,103.24162786460533,7.257087718189322e-24
5,% Amino Acid - Leucine (L),98.95090906038017,5.895619977869521e-23
9,GRAVY score,88.02313061438099,1.2448777198264172e-20
