,Feature,F-Value,P-Value
0,Control Abundance,455.2181398095337,4.3485486591586627e-94
8,Absolute Surface Area (ASA) - Sum,76.3872675856733,3.828067622806968e-18
12,% Secondary Structure - Sheet,27.864572819239083,1.3948879591737306e-07
5,GRAVY score,24.613102496461178,7.402187433176364e-07
4,% Amino Acid - Asparagine (N),21.62047899595997,3.4679867562251557e-06
1,% Amino Acid - Aspartic Acid (D),18.980377671571443,1.3654775507588036e-05
16,NP_incubation Concentration (mg/mL),12.31587179584042,0.0004558018486095158
7,Relative Surface Area - Standard Deviation,9.370571626465187,0.002224708393976941
9,% Exposed Amino Acid C / Total Exposed,5.056906855071307,0.024601040402632907
2,% Amino Acid - Phenylalanine (F),4.2429541752135105,0.0395005399411813
