,Feature,F-Value,P-Value
0,Control Abundance,333.94413882945656,1.2294667966305823e-70
39,% Exposed Amino Acid M / Total Exposed,119.4401009820246,2.891758971932267e-27
16,Molecular Weight,103.85838201194801,5.570275705157525e-24
1,Mass,103.85806490250742,5.5711359709926986e-24
43,% Exposed Amino Acid T / Total Exposed,96.35956891554197,2.1597230645443084e-22
29,Absolute Surface Area (ASA) - Sum,84.25854761352808,8.110699480257804e-20
7,% Amino Acid - Isoleucine (I),58.78631655190657,2.394100765232704e-14
44,% Exposed Amino Acid V / Total Exposed,53.88916866704585,2.7532270763354977e-13
41,% Exposed Amino Acid R / Total Exposed,47.2630039918877,7.595898937544268e-12
42,% Exposed Amino Acid S / Total Exposed,45.76141065824756,1.6144962296187538e-11
