,Feature,F-Value,P-Value
0,Control Abundance,475.5011415736685,6.64916642475126e-98
7,Absolute Surface Area (ASA) - Sum,83.40342482361325,1.2057177337411356e-19
11,% Exposed Amino Acid H / Total Exposed,38.14660091827861,7.457367040366838e-10
12,nsp_secondary_structure_coil,34.544579232239705,4.629353250545204e-09
13,% Secondary Structure - Sheet,20.52694167726921,6.111878397817209e-06
3,GRAVY score,20.268781403461325,6.9881210911835914e-06
2,% Amino Acid - Asparagine (N),14.460255216264892,0.00014603023884732948
5,% Exposed Nonpolar Amino Acids / Total Exposed,11.54229614968485,0.0006892658953873423
6,Relative Surface Area - Standard Deviation,7.528206267891904,0.0061105521653349185
16,NP_incubation Concentration (mg/mL),6.950163686699529,0.008424814483091419
