,Feature,F-Value,P-Value
0,Control Abundance,484.23873339310836,1.5349873047024528e-99
6,Molecular Weight,95.75517022276733,2.813191387342488e-22
14,nsp_secondary_structure_coil,33.0112864869662,1.0091593317958807e-08
15,% Secondary Structure - Sheet,28.175715209175934,1.1895048832943652e-07
7,GRAVY score,27.047586328567647,2.1199230366898622e-07
13,% Exposed Amino Acid Y / Total Exposed,24.29084636487019,8.73790003753662e-07
5,% Amino Acid - Asparagine (N),22.00607097697851,2.8407828325638956e-06
3,% Amino Acid - Histidine (H),11.586905162581951,0.0006729895978175057
20,NP_incubation Concentration (mg/mL),8.341047657228629,0.003903976804312813
10,Relative Surface Area - Standard Deviation,7.60489017316082,0.005856661583010865
