,Feature,F-Value,P-Value
0,Control Abundance,459.68868384704217,6.242947623357603e-95
1,Mass,112.80217603934244,6.908820289046431e-26
8,Absolute Surface Area (ASA) - Sum,87.24748150306192,1.8220131645809913e-20
13,% Secondary Structure - Sheet,35.93767357102288,2.283014320983362e-09
5,GRAVY score,28.96595469413687,7.939918236980971e-08
12,nsp_secondary_structure_coil,26.95277411952958,2.2255133322985063e-07
4,% Amino Acid - Asparagine (N),18.38157949253914,1.8655935237835113e-05
11,% Exposed Amino Acid Y / Total Exposed,16.479111212094825,5.045959541724591e-05
16,NP_incubation Concentration (mg/mL),8.368721373161831,0.003845136706712483
3,% Amino Acid - Phenylalanine (F),4.644160270592773,0.031239571149707646
