Intensity 31_200_PSCARB_10	Intensity 32_200_psCARB_100	Intensity 33_SMALL_CITRATE_10	Intensity 34_LARGE_CITRATE_10	Intensity 35_SMALL_PEI_10	Intensity 36_LARGE_PEI_10	Intensity 37_LARGE_PVP@AU_100	Intensity 38_SMALL_PVP@AU_10	Intensity 39_SMALL_PVP@AU_100	Intensity 40_LARGE_CITRATE_100	Intensity 41_LARGE_PEI_100	Intensity 42_SMALL_CITRATE_100	Intensity 43_SMALL_PEI_100	Intensity 44_LARGE_PVP@AU_10	Intensity 45_LARGE_PEG@AU_100	Intensity 46_LARGE_PEI@AU_100	Intensity 47_SMALL_PEI@AU_100	Intensity 48_200_PSCARB_PEG_100	Intensity 49_200_PSCARB_PEG_100(B)	Intensity 50_FBS	Intensity 51_SPQC1	Intensity 52_SPQC2	Intensity 53_SPQC3	Top3 31_200_PSCARB_10	Top3 32_200_psCARB_100	Top3 33_SMALL_CITRATE_10	Top3 34_LARGE_CITRATE_10	Top3 35_SMALL_PEI_10	Top3 36_LARGE_PEI_10	Top3 37_LARGE_PVP@AU_100	Top3 38_SMALL_PVP@AU_10	Top3 39_SMALL_PVP@AU_100	Top3 40_LARGE_CITRATE_100	Top3 41_LARGE_PEI_100	Top3 42_SMALL_CITRATE_100	Top3 43_SMALL_PEI_100	Top3 44_LARGE_PVP@AU_10	Top3 45_LARGE_PEG@AU_100	Top3 46_LARGE_PEI@AU_100	Top3 47_SMALL_PEI@AU_100	Top3 48_200_PSCARB_PEG_100	Top3 49_200_PSCARB_PEG_100(B)	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	iBAQ 31_200_PSCARB_10	iBAQ 32_200_psCARB_100	iBAQ 33_SMALL_CITRATE_10	iBAQ 34_LARGE_CITRATE_10	iBAQ 35_SMALL_PEI_10	iBAQ 36_LARGE_PEI_10	iBAQ 37_LARGE_PVP@AU_100	iBAQ 38_SMALL_PVP@AU_10	iBAQ 39_SMALL_PVP@AU_100	iBAQ 40_LARGE_CITRATE_100	iBAQ 41_LARGE_PEI_100	iBAQ 42_SMALL_CITRATE_100	iBAQ 43_SMALL_PEI_100	iBAQ 44_LARGE_PVP@AU_10	iBAQ 45_LARGE_PEG@AU_100	iBAQ 46_LARGE_PEI@AU_100	iBAQ 47_SMALL_PEI@AU_100	iBAQ 48_200_PSCARB_PEG_100	iBAQ 49_200_PSCARB_PEG_100(B)	iBAQ 50_FBS	iBAQ 51_SPQC1	iBAQ 52_SPQC2	iBAQ 53_SPQC3	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Taxonomy names
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T
0	0	0	4868800	0	0	10031000	0	8823200	25223000	25072000	0	13468000	0	0	0	0	0	0	54812000	31454000	0	25913000	0	0	0	6181700	0	0	12736000	0	11202000	32024000	31832000	0	17099000	0	0	0	0	0	0	69591000	31454000	0	25913000	0	0	0	270490	0	0	557280	0	490180	1401300	1392900	0	748210	0	0	0	0	0	0	3045100	393290	0	437970				9913	17	1	0	47.9	2.9	0	46.236	0.0075567	3.5815	199660000	11	A2I7M9	A2I7M9			0	Bos taurus
0	0	6179200	29202000	10419000	37879000	157260000	3491300	140470000	162570000	227670000	42538000	163980000	13316000	33192000	1102400	19913000	0	2565600	362830016	72568000	96897000	112370000	0	0	18419000	38929000	25128000	37879000	102790000	10407000	101360000	130120000	156570000	56709000	123570000	17752000	33192000	3286100	34019000	0	6187500	241180000	72568000	72270000	73921000	0	0	308960	831510	520970	1386200	4739200	174570	5424100	3576800	7226600	906320	6491900	363440	1140000	55120	412010	0	128280	12153000	2609500	3852600	3734900				9913	16	7	0	34.8	16.8	0	46.311	0	45.871	1696400000	72	A2I7N0;Q3ZEJ6	A2I7N0;Q3ZEJ6			1	Bos taurus;Bos taurus
0	0	0	0	0	0	0	0	5662300	0	17317000	0	9697600	0	0	0	0	0	0	29073000	0	0	0	0	0	0	0	0	0	0	0	6402900	0	19582000	0	10966000	0	0	0	0	0	0	29073000	0	0	0	0	0	0	0	0	0	0	0	283110	0	865870	0	484880	0	0	0	0	0	0	357120	0	0	0				9913	11	1	1	23.4	2.7	2.7	46.397	0	6.1478	61750000	6	A2I7N1	A2I7N1			2	Bos taurus
0	0	0	0	0	0	21393000	4459100	23326000	33325000	23024000	10875000	29144000	7295400	15416000	3883600	0	0	0	53483000	17526000	24811000	17598000	0	0	0	0	0	0	21393000	4459100	23326000	33325000	23024000	10875000	29144000	7295400	15416000	3883600	0	0	0	53483000	17526000	24811000	17598000	0	0	0	0	0	0	1337000	278690	1457900	2082800	1439000	679720	1821500	455960	963510	242720	0	0	0	3342700	1095400	1550700	1099900				9913	15	1	1	35	5.3	5.3	46.389	0	40.786	285560000	22	A2I7N2	A2I7N2			3	Bos taurus
9112500	2736100	84281000	116270000	117630000	126700000	526790016	53651000	459680000	769960000	784430016	167960000	643660032	89638000	173010000	12242000	105910000	11394000	22451000	1192499968	431300000	370609984	351760000	30235000	0	82378000	115670000	102110000	113330000	312089984	29135000	314680000	440960000	522720000	148300000	439969984	70687000	136750000	12764000	98595000	10574000	23449000	670070016	270140000	214820000	225090000	506250	86744	3440700	6054600	5203300	5652500	18738000	1732200	18913000	29351000	32954000	7723300	27804000	3671900	7591100	252380	4605800	632980	1247300	45092000	17316000	14808000	14548000				9913	12	10	10	26.4	22.3	22.3	46.941	0	323.31	6623600000	165	A2I7N3	A2I7N3			4	Bos taurus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2982400	16490000	10363000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6472400	13889000	24015000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165690	838940	575700	0	0	0				9913	4	4	4	9.2	9.2	9.2	50.548	0	32.94	29835000	6	A2VE23	A2VE23			5	Bos taurus
0	0	0	0	0	0	0	0	0	60552000	0	14339000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49094000	0	20855000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1505300	0	203270	0	0	0	0	0	0	0	0	0	0	0				9913	5	5	4	16	16	13.4	48.991	0	13.96	74891000	7	A2VE99	A2VE99			6	Bos taurus
0	0	7893500	13742000	26382000	41994000	70589000	12098000	118180000	142960000	150940000	93965000	177640000	8227900	20129000	3488600	138460000	0	0	0	63205000	76583000	48905000	0	0	17267000	18907000	20604000	23881000	37586000	8904100	54396000	68553000	80435000	52550000	88474000	7415900	15332000	3439900	58602000	0	0	0	34946000	37148000	32681000	0	0	877060	1526900	2931400	3015700	4192900	1056700	7767400	9583800	11476000	7405100	12018000	914210	1773000	387620	11928000	0	0	0	4090900	4809700	4353700				9913	8	8	8	50.9	50.9	50.9	19.692	0	119.3	1215400000	110	A4IF97;Q5E9E2	A4IF97;Q5E9E2			7	Bos taurus;Bos taurus
0	0	142470000	136490000	0	0	7030400	105810000	0	24616000	0	59857000	0	19577000	0	0	0	0	0	0	19156000	7164700	32547000	0	0	72699000	71747000	0	0	26180000	28599000	0	31240000	0	37696000	0	15221000	0	0	0	0	0	0	20589000	21336000	27640000	0	0	1670300	1795700	0	0	156230	928100	0	191490	0	700900	0	200960	0	0	0	0	0	0	230230	159210	219580				9913	18	18	18	29.1	29.1	29.1	87.733	0	97.509	554720000	63	A5D7B7	A5D7B7			8	Bos taurus
