Abundance_Controls,frac_aa_F,frac_aa_N,secondary_structure_fraction_helix,fraction_buried,fraction_exposed_polar_exposed,rsa_std,asa_sum,fraction_exposed_exposed_C,fraction_exposed_exposed_E,fraction_exposed_exposed_F,fraction_exposed_exposed_H,fraction_exposed_exposed_Y,nsp_secondary_structure_sheet,nsp_secondary_structure_helix,Zeta Potential,Dh_functionalized,NP_incubation Concentration (mg/mL),Incubation Concentration (mg/ml),Abundance,NPUNID,Entry
0.0526721153550325,0.04377564979480164,0.03283173734610123,0.2818057455540355,0.458,0.6085858585858586,0.237,44117.954,0.0,0.09595959595959595,0.0101010101010101,0.02272727272727273,0.0101010101010101,0.272,0.259,29,288,5.0,40,0.1021839227595427,29,Q3SX14
0.0106859821017348,0.05445544554455446,0.04702970297029703,0.3292079207920792,0.453,0.6968325791855203,0.257,25803.005,0.004524886877828055,0.08144796380090498,0.00904977375565611,0.04072398190045249,0.01809954751131222,0.29,0.267,-11,316,5.0,40,0.0007249079776626,23,E1BF81
3.97818750745931e-05,0.03292894280762565,0.03812824956672443,0.2461005199306759,0.25,0.7066974595842956,0.211,49733.18,0.0,0.1801385681293303,0.006928406466512702,0.009237875288683603,0.0115473441108545,0.111,0.487,-3,609,5.0,40,0.0020934220457468,31,Q2HJ49
3.97818750745931e-05,0.03410641200545703,0.04229195088676671,0.2783083219645294,0.398,0.7891156462585034,0.248,52955.217,0.0,0.2086167800453515,0.009070294784580499,0.009070294784580499,0.01360544217687075,0.181,0.357,-11,316,5.0,40,0.0201886324456254,23,Q76LV2
3.97818750745931e-05,0.05384615384615385,0.0,0.3307692307692308,0.262,0.4791666666666667,0.231,10741.006,0.0,0.03125,0.04166666666666666,0.01041666666666667,0.04166666666666666,0.246,0.062,-49,218,5.0,40,0.0037932293897485,26,Q28038
0.300675629897684,0.05284552845528456,0.02845528455284553,0.3008130081300813,0.37,0.6161290322580645,0.251,35166.288,0.00967741935483871,0.08064516129032258,0.01935483870967742,0.02258064516129032,0.003225806451612903,0.222,0.22,-11,316,5.0,40,0.2131527480846842,23,P28800
0.000583189013786052,0.06896551724137931,0.04827586206896552,0.3379310344827586,0.462,0.6794871794871795,0.251,9197.911,0.01282051282051282,0.1025641025641026,0.0,0.05128205128205128,0.0,0.0,0.779,-12,271,5.0,4,0.01468331007946,24,P02070
3.97818750745931e-05,0.03972602739726028,0.02602739726027397,0.3136986301369863,0.559,0.6459627329192547,0.229,37827.153,0.009316770186335404,0.124223602484472,0.006211180124223602,0.01863354037267081,0.0124223602484472,0.326,0.171,12,229,5.0,40,0.0058893875381017,33,P80227
0.00283929633618224,0.03828828828828829,0.06081081081081081,0.2927927927927928,0.284,0.6415094339622641,0.219,34286.276,0.01886792452830189,0.07232704402515723,0.02515723270440252,0.0220125786163522,0.04088050314465409,0.133,0.266,-49,229,5.0,4,0.1909191775365312,20,P12799
3.97818750745931e-05,0.05625,0.06875,0.2375,0.262,0.7372881355932204,0.258,14781.853,0.01694915254237288,0.1016949152542373,0.03389830508474576,0.01694915254237288,0.0,0.319,0.019,39,282,5.0,4,0.0023553980013048,22,Q3ZBF7
3.97818750745931e-05,0.03125,0.03125,0.3333333333333333,0.464,0.6310679611650486,0.251,11935.229,0.01941747572815534,0.06796116504854369,0.009708737864077669,0.01941747572815534,0.009708737864077669,0.203,0.38,-7,266,2.4,40,0.0024186800296811,34,P62998
0.000910434757046537,0.03584229390681003,0.04301075268817205,0.2616487455197133,0.355,0.6444444444444445,0.247,42687.811,0.005555555555555556,0.08055555555555556,0.02777777777777778,0.03055555555555555,0.03333333333333333,0.247,0.07,-7,266,2.4,40,0.0163610152446941,34,Q5E9Z2
